nfd,sender,id,ts,date,assetId,amount,usd,assetPriceAtTime
,GJ2437TLZHTE7E5ZXKRC2I7DQ2JFJPQWWTFCRPQSISAZ3I2BNB4UHVDPA4,6MOIA44ILLHF75NKDKT75XQNYKUBT6KIT5RC2ARHJCJMPBMWSSFQ,1689016874,2023-07-10T19:21:14.000Z,796425061,1.5,0.05110783272559714,0.034071888483731425
keyboard.algo,EZPSYVX4GG3OMUQWIJNTYAAUZAHQHSOOHEKFXFWMZ3VIFCUFSZCSABMQUM,JN4YA6DSUWB2YTNOJKNBC3KQISIBO2AKGFGUHTPWU7FFEAML4XHQ,1688886845,2023-07-09T07:14:05.000Z,0,9.9,1.1020942663866127,0.11132265317036491
kunstmusik.algo,2HYTI5GAB3WAJL5MZKQYUHZHYQJBEUD54OQNFZNBCPZXFPVDZOSCGUNORU,DCLH7YNJLZYLXJA4SD75BWFFD2XLYOHEAYMCSPOOZSJROVEVS5TQ,1688826319,2023-07-08T14:25:19.000Z,0,50,5.608947599906439,0.11217895199812877
,DWJGXQ2AAZHAWXD2QDJF7RQUJD3SB5FJC66GMA6SWOCILIYCWCDNYYZ2LQ,3MBCVFDEZC7WU4RSFFVNSQTPYTRDTQHJPHNSCEJQBVSAC3GKN7RA,1688818844,2023-07-08T12:20:44.000Z,796425061,500,17.28549859840345,0.034570997196806896
hashingslash.algo,SLASH6WN7MPCCMQ3PRNEU3JJ4J5WFBCX27U3QV4UIVYDPEQOWNHN37REZQ,3A6IFFJH5IZVG54CETJAEFWQ2MASTT2Z7YL5AXVYO3WD7OXCJXGQ,1688807717,2023-07-08T09:15:17.000Z,0,50,5.596065321194354,0.11192130642388708
hashingslash.algo,SLASH6WN7MPCCMQ3PRNEU3JJ4J5WFBCX27U3QV4UIVYDPEQOWNHN37REZQ,RNHZJCNX3UAZBPT24Z3KYYQMVPYGP5WOUAOILJRDDWW7YRTDC43A,1688807693,2023-07-08T09:14:53.000Z,796425061,96.530005,3.3169062927774426,0.034361401854039506
jamesstrope.algo,6EZWLKLMUP2XH6QKZ77IFH5COX6UWN2S367573OWI5QFTQCBSDTTJU3TRU,3XLRUCMSF3SQWLY636HMJOZZGE2VJLRUECIW7ETYY7T6BC6JIP5A,1688782971,2023-07-08T02:22:51.000Z,796425061,174,6.042299549942152,0.03472585948242616
jamesstrope.algo,6EZWLKLMUP2XH6QKZ77IFH5COX6UWN2S367573OWI5QFTQCBSDTTJU3TRU,UK7SYJF4KOHE2XSNLPBF5T3LWDFRQSK62QXFYB3JEC2NJXGNRYWQ,1688782658,2023-07-08T02:17:38.000Z,796425061,250,8.68146487060654,0.03472585948242616
,PIXELYUC23O7REOIN2WUQ32ZH6Y5BEZD6DKB2ZNMMTMRAJHRHSCXNLFWPI,WAFMGZLEQ7A2DNOG3RKMZXTSNNCSLUJ67SO6VC6DT54FMPNBM5JQ,1688782131,2023-07-08T02:08:51.000Z,796425061,88.63,3.066460237716527,0.03459844564725857
outsider.algo,XPATARTG3VEXW6EQUZ33HZ32HEK5UAO3ORVLORCNQ4NMXOELZPVUTWDEJI,IUUPYALYSTHKJZ5SCMXDUG2QT65OBGXZHDOY66XK4PSAY2QNT5UA,1688778655,2023-07-08T01:10:55.000Z,0,200,22.473082149463814,0.11236541074731907
froghousedojo.algo,P4SPR5M6T45XP3KVKP3XCLK55U2WXR3PGWA43IMXM6IZA5HDOBO4O4AB5A,S3TYM3XHIVXRHAXKJJV7G7KPYFIA7CZHHNACVNNISZGJDNW5TADQ,1688769888,2023-07-07T22:44:48.000Z,0,50,5.595995952575163,0.11191991905150327
,GJ2437TLZHTE7E5ZXKRC2I7DQ2JFJPQWWTFCRPQSISAZ3I2BNB4UHVDPA4,43XSFU4MV4NSGOCHTWJZB4F7RG6HV43SLCXFYL5YM7MMVVJDFXSQ,1688649008,2023-07-06T13:10:08.000Z,796425061,5,0.18748617144355925,0.03749723428871185
,KRTSBDBYVW3YX2EGI6YP3RCOFJXSQV6XFMTKVJZSG3QUAHBVYNM46PAHIM,GEU4UUKA2ZRK5BCJGCBIAK36L6V4PBOU62JNZDJRKNKWQKZEYLXA,1688574149,2023-07-05T16:22:29.000Z,796425061,260,10.190524276891162,0.039194324141889086
jaxnole.algo,AAC2JBF6S6WIFE3SIWKDJ46HOBOXFBGBMMMSJDMIBE25SMBG4H2D2TJ3XY,WLHONCY6YF5N2DZYE5QB2HBJRIWNYEGFGKEWARIMGJE4HFC6BTEQ,1688297828,2023-07-02T11:37:08.000Z,1103395709,1,0.18170946242709934,0.18170946242709934
jaxnole.algo,AAC2JBF6S6WIFE3SIWKDJ46HOBOXFBGBMMMSJDMIBE25SMBG4H2D2TJ3XY,ZGXFGLC24EBEHDYV7C62SORFNFZLQS344C2NYAJKJ3LH7JGWEVWA,1688237677,2023-07-01T18:54:37.000Z,1103395709,1,0.17910652596713122,0.17910652596713122
roamoilanen.algo,C7FVVLZVOIWFSJUXRZIWWBJUYEZ2R22IX35A33XG5UDVCXXCX52NTC5QRE,IWIMASK7VA465UQQOSU5DQ7EH77D6SJQFWUNDHRWR6NVZ623X73Q,1688230791,2023-07-01T16:59:51.000Z,31566704,1.00281,1.00281,1
robbie.coop.algo,HIBMJUF7EAWJXCIMNROUNJBJNXGUAB45QEJA4IV4XCNWQEBN2F7VMB3PKM,34JLUDAQIMCS6HA5ZRASODQJO34N5CH77JJJ3EF7EDEYYDGPBYEQ,1687958595,2023-06-28T13:23:15.000Z,796425061,10,0.2777161202962925,0.02777161202962925
vault.makman.algo,SEOIXMJBVBRKJMKORXRIS6RXHHBQJFV4NWPIITWC5PGHQQC4WCRB56ETJY,UZIJ5OGSYUCZZ7FYRJMPXXHROYXHQ7GFUVJSGXD5KRB3TKF6W2KA,1687713793,2023-06-25T17:23:13.000Z,0,500,69.29976515783515,0.1385995303156703
roamoilanen.algo,C7FVVLZVOIWFSJUXRZIWWBJUYEZ2R22IX35A33XG5UDVCXXCX52NTC5QRE,ZV7XXLRGEXCB3LGUULH47J47XZ7TO6SOUNQIBPOJHZIOJNNNXMKA,1687625265,2023-06-24T16:47:45.000Z,0,2,0.26541120372339777,0.13270560186169889
roamoilanen.algo,C7FVVLZVOIWFSJUXRZIWWBJUYEZ2R22IX35A33XG5UDVCXXCX52NTC5QRE,NDQZMXH56M6W5M2AFNZKTVMVW5BQWWYUKLC34QYTOE3LLFH33MCQ,1687422415,2023-06-22T08:26:55.000Z,31566704,0.003295,0.003295,1
andynguyen.algo,7X4O5K6JBDWLSXYGGAG6LSTXNGKWXVO3PP4W5YVOSJMOQLGJJ5ZJFF65DA,DED7CGC2HICRMRNGTVUCYH5SZO55XRAGPFQS7FGFVRFBJQCW3LJQ,1687387165,2023-06-21T22:39:25.000Z,796425061,5000,147.52761811400487,0.029505523622800973
movetoabetterworld.algo,T2LT2FQUGTKM5JRV4JXGNLOQEWD2EOFNXSH2V6HDC7RYFTHGQDXVZ2MVTA,WL2BXR2DLGQQ3S6EJYJQ6BDD4V4FAZBV5464MRP2536QRX2IOVNA,1687372775,2023-06-21T18:39:35.000Z,796425061,50,1.5379472094707765,0.03075894418941553
lengthy.voi.algo,B5TRCMP7IDCX76LVT62DESSWYZT73KOKD3KEQTYEMN4WIADPBOZ2ZSLOYA,ACO2TN3WATR77THEYLRBUIETJWRAGFAS42QF44MUFENOE7WJE4AQ,1687363782,2023-06-21T16:09:42.000Z,796425061,10000,298.7628342991293,0.029876283429912928
robbie.coop.algo,HIBMJUF7EAWJXCIMNROUNJBJNXGUAB45QEJA4IV4XCNWQEBN2F7VMB3PKM,NCQ6LJTN6WUTUBPELI3FWTLINLOBAGU5RWIUTTZZJZCFE3KFFOGQ,1687355327,2023-06-21T13:48:47.000Z,796425061,16,0.5161698579441268,0.03226061612150793
gfyourself.algo,B4JFTAUITLGFNBSNXT2VTOZCRLFZMX3I7ERRDZCAYZP74NGHZ7565ZECZY,7K7XC54TT3UV4Z5TBXKYOKPFKNZO2KKEPMAQ4E6575JKVKB5MUSQ,1687355037,2023-06-21T13:43:57.000Z,796425061,420.69,13.954596010811334,0.03317073382017955
ganainmtech.algo,JVGFI5653YQIJ3DJPFDT3BH46S33OPQ6LMGFBMC6MWBZM2JVC7M6PBWBKU,TOD6SXMO6FCDBQEFH6JUDL5WHPFFUAD6H4JVDGU22OQYOPES6S4Q,1687347704,2023-06-21T11:41:44.000Z,796425061,762,25.220704488447492,0.03309803738641403
robbie.coop.algo,HIBMJUF7EAWJXCIMNROUNJBJNXGUAB45QEJA4IV4XCNWQEBN2F7VMB3PKM,MW7OXLKFEY5IC3GWTFEYRASDEXRZIY6BBS3SS3EDHAUSCQPQXKQA,1687318385,2023-06-21T03:33:05.000Z,796425061,61.52,2.497281131468954,0.040592996285256075
michaeljordan.algo,TIGER4VK5MHK2TIE2DLV5LQSJLZQROKY4H5VC3HXNTMDOPPMSPKKS4TK44,CMCCXDPL7LOZYT7CU7EGYA677WH3PMH7FTHT7HAEIEQQRYD3D7QA,1687317738,2023-06-21T03:22:18.000Z,796425061,100,4.227929881305082,0.042279298813050814
moo.akita.algo,5URM4YO6WI2MQ66D3XRZXSKOBMEXDCSMBIUW2RVB2LYDPATKNIX4YVJOGY,35DEXY7OB4WANPHYX26ZVUAH5KPHARC5HK3QLXAZ677UOENO5POA,1687317609,2023-06-21T03:20:09.000Z,796425061,250,10.569824703262704,0.042279298813050814
,MX4EWJ33NQAMYZVYPSXNQDT5DH3L2I2EKXNDHKSJ4ECAVQJ2BNDEZPM7CI,UZWZJFWWC5MMJOKTQQ7IARDLD3W5UDP6CIZJ3KNEDBFXGUK5PD2Q,1687306909,2023-06-21T00:21:49.000Z,796425061,4000,184.552662063989,0.046138165515997254
fisherman.algo,LVD6FPALL5MIYD6RWY4BYQO3TBJZJU7DLNGLHHTQQB6BTIHI6JTBSP2MZE,RCXPQWSPQT5WT7IJZSE5XSI4BPCRIDUXUTL25CFOPIPKNSI7CVSQ,1687306526,2023-06-21T00:15:26.000Z,796425061,36427,1680.674955251232,0.046138165515997254
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,UJZ632B3DEEM5TIEJJQDTLQKXJUKO7RLMKRDMOCCPBVWOZ4QRS2A,1687285639,2023-06-20T18:27:19.000Z,0,65,7.724355851558903,0.11883624387013696
roamoilanen.algo,C7FVVLZVOIWFSJUXRZIWWBJUYEZ2R22IX35A33XG5UDVCXXCX52NTC5QRE,ZFZPPDWFIAA3Y3SU6SXW4E7L6AJZLTDIIXPBC6HS5MX7FT26KNOQ,1687199682,2023-06-19T18:34:42.000Z,0,20,2.327114707683862,0.1163557353841931
doxxed.algo,3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,2NVB7TCK6O26CRHVXDOWL52V2DEDQZIRD2CI3FHRQA6AIJX6BQUA,1687199417,2023-06-19T18:30:17.000Z,0,100,11.63557353841931,0.1163557353841931
doxxed.algo,3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,F5XVGBZODMG57GCMW5A2HAQOHAEKQ5TN4IAJK6GMUEK3U6C5QRHA,1687198557,2023-06-19T18:15:57.000Z,796425061,931,44.71036382926324,0.048024021298886395
doxxed.algo,3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,A7VUBVGJIOXYPSPWA5GCLYFW5TH5YMWDLLPKHLYEVKIAAZJL4XTA,1687198454,2023-06-19T18:14:14.000Z,796425061,69,3.44643704142895,0.04994836291926014
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,OP4VCKBBNJ2PMX7RILATWT3NEQRYCVIESYOADTSOVRIKYQ64RP4Q,1687172205,2023-06-19T10:56:45.000Z,0,10,1.1625337841646983,0.11625337841646984
godhatesnfts.algo,5EH3H3YJDP5HUEIDP3MRK2DHE7FIII4XEH2YLMS4V7GIMHSYLTZCXOIXWI,HFIDJN4LVCENWKLGPNLAK5ZXIPV65A4DCXEZZI3LTT24KARFWDIA,1687150274,2023-06-19T04:51:14.000Z,796425061,100,6.213029750003515,0.06213029750003515
mefra.coop.algo,64M5SOIWCRZFYYKSNADSSTVUMWRHERFWQPHAV5OVZDEN7KZ5QKNQOQ6T7Q,YUOVEJRH4F3TYCJLBUJMSGMYITIHRSWIHYGKELPHQXSBYMSZYQFA,1687126004,2023-06-18T22:06:44.000Z,796425061,200,12.066129658347013,0.06033064829173507
,SW33H674DOOLJJE3AS77EM6BKM47JMR3TICLJ7I34T7UV4EZFNLUS743VU,LTZ7SPXIQCU7UGGRVIAGTX5K36GZ47CGH3MMJ34KUROPWN6PGV6A,1687124628,2023-06-18T21:43:48.000Z,796425061,200,11.414000267422747,0.057070001337113735
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,24AYTXF5KZYGM57UR75N2FZ5EZJRZKAKOAFMONEUNHDWMVUP646Q,1687100011,2023-06-18T14:53:31.000Z,0,5,0.5916323022190444,0.11832646044380887
traveltech.algo,XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,SJ4GBTM65CYF3AWHNI4RVRPNVBPTINKEFTJAIFEQPMI6NYOCHITA,1687098782,2023-06-18T14:33:02.000Z,796425061,100,6.248979798555827,0.06248979798555827
jaxnole.algo,AAC2JBF6S6WIFE3SIWKDJ46HOBOXFBGBMMMSJDMIBE25SMBG4H2D2TJ3XY,DYMI5MEUPLRYBAL5GTTVV365XLOCMP5GQ3ZJQUMXA7RG2ZX4QZ6A,1687098410,2023-06-18T14:26:50.000Z,796425061,250,15.643925554864754,0.06257570221945902
native.algo,DLO6VI4XJJWZOYUHSEKP3MVQZXGEOKDJUTTL5NJIS7UMXAPETOYLX3KNVE,A3O2BZ6BJIL4ZAMNBK7EGKTTB23MI4QKVL4HFFYBHUZ3JT4AAZIQ,1687028877,2023-06-17T19:07:57.000Z,796425061,16000,1116.8758923088303,0.06980474326930189
goannabe.algo,2YNMNHBUF7ZMT4RULXMY2U7WJYBYKCMX4NM2S6OBQBPVB42BWSXYXMQ7OU,IJIMZTS2XOQRYCLFUSPFJDZWMRU5FUNDJOGEVRE45W7WRQ4KUJLA,1687017882,2023-06-17T16:04:42.000Z,1107034824,86.975746,28.189499532392983,0.3241075912403555
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,IR4SAXMU2RMNCKDTJT3FZPJ2SIUQORCL3JIMZOSHZRB2PBMM7OQA,1686900673,2023-06-16T07:31:13.000Z,796425061,100,6.818475840152091,0.06818475840152091
bso4life.algo,MXSQS4VVGGQDVFDVCG2PKGYKMMJLT25SRTCZDMIQLZSSX53F3GQWRHYWTI,7LNKWVV7XFYMVPJ7FBISLKQEKGVLNDBNJNWQ743XSX44N2RQJXVQ,1686898999,2023-06-16T07:03:19.000Z,796425061,22.2,1.514273755131838,0.06821052951044315
traveltech.algo,XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,JVCYIWDMTLRD23NIMQAUDJLTHNCK5YJ56AGNDETGCZQGHP4S7Y2Q,1686867000,2023-06-15T22:10:00.000Z,796425061,100,6.793543958311485,0.06793543958311485
bomberharris.algo,Y5MR7GPJZAY7H7QOTS3MONOSOKVEEVGSRCUMBS55IP625TSEITYV5LLGF4,K4G4JMVZHHQXRT7PWBYE3N5HG4VGVKCXWS5QV2NVQTXOU5A2RZMQ,1686863882,2023-06-15T21:18:02.000Z,796425061,500,33.99598903383638,0.06799197806767276
animalstyle.algo,MRQZC23CLRJJXRHXXKW3GIALRAFIVB6P3GNSNFLKWJ2QK3PYBTSSICIZU4,YH6ULS3VN3YCKRZQJTZPG2ZJPOCQVWX7MJL5VF53FFCGWGLIXDJA,1686815107,2023-06-15T07:45:07.000Z,0,20,2.2382325877812455,0.11191162938906227
animalstyle.algo,MRQZC23CLRJJXRHXXKW3GIALRAFIVB6P3GNSNFLKWJ2QK3PYBTSSICIZU4,I2JZAGIX5GGXOIFSPDIFL42IRZGSTHFBM64YB2MZJKOFCO2RRSWQ,1686815029,2023-06-15T07:43:49.000Z,796425061,15,0.9955365226695883,0.06636910151130589
murphvr6.algo,5KZKSGWEWL5ZYT7F24YZ5E4GLCHO2IFEFPPBLBLKS3PEFNL7WEF6TJRWIA,FFK5SAFWBBNGKQBLU5B4KIARD3RW4F432KMVZ5EABHJEFAV64LUQ,1686781618,2023-06-14T22:26:58.000Z,796425061,14,0.9118157233531784,0.06512969452522703
lengthy.voi.algo,B5TRCMP7IDCX76LVT62DESSWYZT73KOKD3KEQTYEMN4WIADPBOZ2ZSLOYA,EMNO5JGMZ4DLW5MOKWFWI2FVU3VAA3XO3WVVG6FY7GIDK4KZPO5A,1686748662,2023-06-14T13:17:42.000Z,796425061,50,3.5388745265042236,0.07077749053008447
yazyyyyyyy.algo,JHYAWJDTEO4ES25H5XD4M3JVSPAVP7GL2R7RK2DIS5PKJNIY44FKTM63HI,RWSNZHEFXI62A2VPQFUSSHULDJHSQFUFVK32LSMIP6OKQXXFGKDQ,1686738230,2023-06-14T10:23:50.000Z,0,69,7.924218811178088,0.11484375088663895
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,E62LQ5UFJ2KBZ2HLDT2JVG5JWUFYNWTSN6AZB7LMUI7T4IXXPCEQ,1686682460,2023-06-13T18:54:20.000Z,0,1.108,0.12461061441619792,0.11246445344422194
