nfd,sender,id,ts,date,assetId,amount,usd,assetPriceAtTime
thefutureoffinance.algo,6BPGVJNRGHRU54F5MG7YK47JSAZ7TALSEKEE5IWO7ILB6Y5KLOVXDUWIWA,Z7X5BDZHQTNXBOSQLLAPDGESC4XLW2KUYB4UILBP6GYMUQ3EP4XA,1686662725,2023-06-13T13:25:25.000Z,796425061,250,15.48734959999581,0.06194939839998324
fractalverse.algo,FR4XSE4W5HPTYTUE7KKPAFAJ4C27NIPE5FCJOMYX7MHWWM3DJ45NBLXP5I,HN2WTTGEZ2MVY6MOMCCQDI5QSDCSBQUJSTHDYL23X4YFFSTEA4ZA,1686593933,2023-06-12T18:18:53.000Z,796425061,13,0.7736354820691457,0.05951042169762659
paulie.algo,HMU6VVEFQMACFZMJWUVCEVDX2VQGFRQFT6GAJR3JKX4532TSNFXVREXPJI,C5WZLCTWHR4I7Z3P5EAQD3SNDELLJWVRD5GVA5FYXIAY3TQZIYBA,1686585151,2023-06-12T15:52:31.000Z,796425061,2000,115.56028747661112,0.05778014373830556
algo101.algo,WJI3BDYLP7YZMU5GDOAGQIY3NSWBIYB5ZZPSWSS7A7F72XESSJNA4HSGFY,5APU4EWV6LHBZZKG3ZCHYBL433MFKHWKRP566MWIRG3TMXCF2JXQ,1686580670,2023-06-12T14:37:50.000Z,796425061,587,33.1538754519593,0.05648019668136167
fisherman.algo,LVD6FPALL5MIYD6RWY4BYQO3TBJZJU7DLNGLHHTQQB6BTIHI6JTBSP2MZE,UR2ELEOWX6AVYDBFVXRUPVAJQICK4DMMFDXPMZ5UZ5Y4BIAGOCKQ,1686580261,2023-06-12T14:31:01.000Z,796425061,196969,11124.847860131127,0.05648019668136167
508visuals.algo,BPVQAIMY5KXPAZ5OJ2V4HHXVYUJKPGGX3EVBIFULUE5M65MBE2I2HAG7SU,I4QTMKZ5EVPVLLZDWUNWJDYXKH4XUTVYAXSZ7TSGGLFKXWWEB53A,1686542354,2023-06-12T03:59:14.000Z,796425061,30,1.9352566575425165,0.06450855525141722
metagrat.algo,R3HZ3BIEFNRIK37LNOOCBCKOFBFJXSESOYO7DCDVUAQUNFD4STNWFOKJMU,H5HWUSXN2R2A4QN5OFUAMIICYX7HGJBE5H4RJTEBW3F2KR62LQJQ,1686541203,2023-06-12T03:40:03.000Z,796425061,100,6.442349769066763,0.06442349769066763
basketb.algo,BSKX6GSPTSY2KKXBO5L367OBY5SJT6GD25FV3RY25VLOGCMORQ6COPCOXY,FWLF4GTEQ5EV7GUGLHSH5SBWZMA7MZIAJYCRFRZICD56J5K2LUAA,1686541088,2023-06-12T03:38:08.000Z,796425061,100,6.442349769066763,0.06442349769066763
distributed.algo,U3U4S7UPIHOY2LOKWOIQZEJK566UUDBDBBTZRTU6TKWMA6QT65SY4FBI2Q,2USL3SC7DTQAWA6ZRWUL24Y4ZALACQ6AWWREZSMVLBDVHDWNFMYQ,1686533431,2023-06-12T01:30:31.000Z,796425061,1234,79.01202051208368,0.0640291900422072
dthirteen.algo,JPEGRZ6G4IBZCOC7UV6QZWJ6TENNKRIPENUJTLG5K7PKIKMVTJHUGERARE,QYIGFX7QSDAKKPIEI2JAIABDZTIBO5IGZEDXPPCKLTEC4RXUKRQQ,1686523944,2023-06-11T22:52:24.000Z,0,1.108,0.12366126528397935,0.11160764014799579
jamesstrope.algo,6EZWLKLMUP2XH6QKZ77IFH5COX6UWN2S367573OWI5QFTQCBSDTTJU3TRU,2GY3A3FR6WBUNMJDHXOSCXSN4M27SC3PRG4JGTNDBZ3ZSWYDYDTQ,1686522232,2023-06-11T22:23:52.000Z,796425061,76,4.3504813854797035,0.05724317612473294
brooks.dragonfi.algo,B3FAPQSMRVCACZ54VUY25JOKNLSHTHB2Q2GOVDYNOC46ZRQ56GLVTMMIUA,XB44QDBD3ISXQ6IMUW6PN6OBOLGEJOAYXSYXVJFQTPX723GETRNA,1686521811,2023-06-11T22:16:51.000Z,796425061,420.69,24.0816317639139,0.05724317612473294
,TD6Z43BWOGUY4XKXC6VNYDSDW3YTRTXW4UD7DEWORTFDKSGQPEBS7KXL3Y,GDD235J2HR3RLNMLJLE4QK2PJMGFU2GJW63CNS2XY2JXIMIIVGHA,1686521596,2023-06-11T22:13:16.000Z,796425061,639,36.56573480992212,0.05722337215950253
paulie.algo,HMU6VVEFQMACFZMJWUVCEVDX2VQGFRQFT6GAJR3JKX4532TSNFXVREXPJI,TTUTZNUGF7QZ552OKTPI5KV2LOZUO7D45GKXKMN3QWI5W34RS3KA,1686520790,2023-06-11T21:59:50.000Z,796425061,6000,342.3852300188771,0.057064205003146184
traveltech.algo,XFCZEMYFV2KZ3SY4QEF4JMCT6XJKVAU2QHQYTP4PA7STUOJD53IIXTX6ZM,ZQN73UIFDHDZ4QXM23OQYO52FG2LQ554LVWTEZT227JCM4LIKQHA,1686511785,2023-06-11T19:29:45.000Z,0,50,5.614229965158823,0.11228459930317645
bso4life.algo,MXSQS4VVGGQDVFDVCG2PKGYKMMJLT25SRTCZDMIQLZSSX53F3GQWRHYWTI,NU7MUWA6J2DJTZ5YOSJWO7IAF2AXCDR7UCVV6FGCOECLNNGI766Q,1686510578,2023-06-11T19:09:38.000Z,796425061,58,3.222949289649597,0.055568091200855124
candleinvin.algo,BVHJC7BNIXZB564D2T3J4HJD7B73CTFOZP5CDJV65QJCIGS24D3HZK353M,I3YMFLCRFYAKYAOQBWPOD2V5YTOI3I56H42EFNEC75QEKMAXSQSA,1686508363,2023-06-11T18:32:43.000Z,796425061,3570,197.34104454436076,0.055277603513826545
lionswrinkle.algo,LIONS6PJKO5GEIAW5IL2XANQLR6L3GJ4F75VUJN3Q53RJAID4PGJZQG4OU,BN7MTV6RPTVQMPGSBN25JY6G6CKQRUQD3TADX7WSUY7HPGVWUESQ,1686506233,2023-06-11T17:57:13.000Z,0,200,22.1837826064161,0.1109189130320805
,PZLP5YEMHZBHS45I7JIGFP7I3D2SVBNREVMFSMXJNG5BFHUIWFOONTO5DU,KFPVHMC6GUFQYVFHQHLI3YZ77LDDN2X6IK5ZTL5FRH2EKQ2JSHQA,1686504899,2023-06-11T17:34:59.000Z,796425061,0.2,0.010871097883747367,0.05435548941873683
,DWJGXQ2AAZHAWXD2QDJF7RQUJD3SB5FJC66GMA6SWOCILIYCWCDNYYZ2LQ,HE35OE23N7HB4JDMYKESNFBARSSSQWE6OJAKIPY72PGV3BPWQFVQ,1686503153,2023-06-11T17:05:53.000Z,796425061,500,26.88198072483498,0.05376396144966996
,FUDPZGQ33M7RHCQGNGF5AUY6SLBEAK3PHYFFXPBN2UWN4BB63LDJMWAIQI,MV3BNK7LNSVDO3Z44S2EHDN66YJKMPBKVZWZJKOWTNHDJFK5OC2A,1686501696,2023-06-11T16:41:36.000Z,796425061,200.318838,10.71644062373513,0.05349691886558931
boredless.algo,5DYIZMX7N4SAB44HLVRUGLYBPSN4UMPDZVTX7V73AIRMJQA3LKTENTLFZ4,MPENYXLUSR4R3E74M5QGSRENYZB26T2XMNDUVLFGLKNAL3PMKYOQ,1686501681,2023-06-11T16:41:21.000Z,796425061,470,25.14355186682698,0.05349691886558931
cody.algo,L7C2IEQPYFZFPQ5RYTGOEQH46UKTTA42BICJFN72ZLCVHR4X4TVBJTFDLM,SOWBJLR5DLWD2NZ2EETOLGGFUZHGTSIRZPH73TSY2IFMEROKDX4A,1686501339,2023-06-11T16:35:39.000Z,796425061,69.670125,3.7271370244804656,0.05349691886558931
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,77TNJOMI3S2DA76526OH6DHGMBHMJBCAQQKBWQUPH3YQBBJ2KFAA,1686501075,2023-06-11T16:31:15.000Z,796425061,7000,374.47843205912517,0.05349691886558931
cryptoforchange.algo,OFLWBWKRI2WY2HBM3IGJZELVYEDQHVMQBBRMQZYJIYL5ZAEJKOGT27QLAA,7PKBCCRRXZUQ6PCAZPNH2AUC6QD4RUR74UNTB624G6HXTFZCJ7KQ,1686500924,2023-06-11T16:28:44.000Z,796425061,500,26.294598837588598,0.052589197675177196
jordancc94.algo,2M4G7QRR6ZMUGR2MBLIVVG4YBH2KKPDBYSHDYO766GSYOEJLTNRK3C2CXA,Y3VQVSC6VSPOSBFOIIRJKBEY54SLRUAKSNUWVMO4IXESO6ZOWSRA,1686500401,2023-06-11T16:20:01.000Z,796425061,50,2.6294598837588596,0.052589197675177196
anonymuss.algo,EHX7TF5FVLQYQLBBGZ2RLEWZIMT4Q66ILRKVBRTOJJFY3GIFDC3NPUFC4U,LSYHCMLMVG4H74TBNNZGMUWGB7BCTNKIH5X3DCBGJ4YIQYLM6CLQ,1686500212,2023-06-11T16:16:52.000Z,796425061,1000,52.589197675177196,0.052589197675177196
algo101.algo,WJI3BDYLP7YZMU5GDOAGQIY3NSWBIYB5ZZPSWSS7A7F72XESSJNA4HSGFY,FAODBTZZDTWTOV4UUDVHUI6A7YB2FGRJ4TW5ELU4RP5I4XOQJLQA,1686500174,2023-06-11T16:16:14.000Z,796425061,662,34.814048860967304,0.052589197675177196
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,Y6MQHK3PW44SFCIBLUVENRHXKXO3RTOV4AJ33KLPHNLS3YZST3DQ,1686499967,2023-06-11T16:12:47.000Z,796425061,3000,156.00341875642403,0.05200113958547467
moistgrannies.algo,CBSN7BZX4EBE3JBHDH6WXI56MSUPUBVMYRRBGGOXZU73GJ7FKND6HNOSUQ,6LE6JZ2RMBRDTCN77QBORUSO7WB44NI2TQY6EBDZN5FTHGM62CXA,1686455510,2023-06-11T03:51:50.000Z,796425061,9.87,0.545050975524006,0.0552229965069915
wr.wompcrew.algo,NSVWDITLQD2LG7GKJA5CO3OM54PLWF2ALB7YBW3645SZ2ZGYK6AP4ZGJ2I,63BJZONC5WFH6CFMN5S46UX5AP5IIJDHZUQYFLKRY6WCGVNNCXTQ,1686361826,2023-06-10T01:50:26.000Z,796425061,100,6.007767598764345,0.06007767598764345
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,J7TVMPJATQXADXXLD7CVJUOYEQH3DFE3GR2LMUHRN4BOGWWYROWA,1686341385,2023-06-09T20:09:45.000Z,796425061,1000,64.03370315444984,0.06403370315444984
cyberware.algo,DGLTCFMANL2SMLVIAZ4KC2KIXSV7NSW27Y5SR23TKF5F64R5RKRPJJKC2I,NJTWGGJXM56DWJBM5EUXL4VTQTUYKB6UVUOEARMEU6E2EOCWI7VQ,1686310474,2023-06-09T11:34:34.000Z,0,25,3.1177776088147677,0.12471110435259071
thefutureoffinance.algo,6BPGVJNRGHRU54F5MG7YK47JSAZ7TALSEKEE5IWO7ILB6Y5KLOVXDUWIWA,RYFTKRRWHSOOWFZNWPG2KFN6GT7F56AS4C3NAC7XTXOVDGEIVYTA,1686294582,2023-06-09T07:09:42.000Z,796425061,250,12.794888372942063,0.051179553491768254
rydo.algo,RYDOEMPIHEMTA27KJCVGAFPQJPAV2BJDM2NCOVF5HEXEEVISE2JEA3TPTM,PCOFGCIP2ECNNISUMW62XVK2OSHDUHCK3LCKB5R4BWNZWI3FBADQ,1686287115,2023-06-09T05:05:15.000Z,796425061,200,9.895645027683257,0.04947822513841628
,F6XMSV2GUYLLRWS25SNJKQCD7PLDKLIPXHGOLIE6N7OSFFMVUVBYIRYUQE,J7SLPPI42EVFAUS3CCKVD37SEIATTEM5XIG2QP7ZLAY7KLA22AGA,1686268159,2023-06-08T23:49:19.000Z,1103395709,50,9.675288819624488,0.19350577639248975
kunstmusik.algo,2HYTI5GAB3WAJL5MZKQYUHZHYQJBEUD54OQNFZNBCPZXFPVDZOSCGUNORU,ZP5CTL5XICXRI4J7PJYHYDDBJARDAZM256HME3EBJU6ETIC6BEJA,1686267347,2023-06-08T23:35:47.000Z,796425061,12.1,0.6087107782519402,0.0503066758885901
raider.pro.algo,YGX3DYWGSZERSQYN7M7J3IWXIOURDX6RFSOKQJPU4RPC2RTZIOBFTDH3OI,N6FZ2X7XDKAOOSQB57REXQOJ7C6BSVKIZCH5F3MNQ4IGIDCYFRLA,1686255181,2023-06-08T20:13:01.000Z,796425061,100,4.553677220561249,0.04553677220561249
theheightenedperspective.algo,V6TJNILOYYT2QIY3VGVKOTKOPPHPFH3PYUAJRUGLNBZGNYQH6FUDEBUQSI,MUFPUXSYFYENIXOXXAXUGH4DXVWLNWH33RNVL7MMJKRMBHS3B4WQ,1686254994,2023-06-08T20:09:54.000Z,796425061,1000,45.536772205612486,0.04553677220561249
theheightenedperspective.algo,V6TJNILOYYT2QIY3VGVKOTKOPPHPFH3PYUAJRUGLNBZGNYQH6FUDEBUQSI,ANS3OSHVRUMXPD6H6HUT4YQQE4XHTJ3QSXWRL3VKUVF2BTB4UDQA,1686254960,2023-06-08T20:09:20.000Z,796425061,1,0.04553677220561249,0.04553677220561249
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,KQRD3II3BKTJ2VOPLFOR7V5PJUN76ZPPMM4DWF5PBSZSQRVXT4TQ,1686187677,2023-06-08T01:27:57.000Z,796425061,1500,97.70707838078545,0.06513805225385697
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,IJD2EKC76CVCCLWOMW625TC7HEXGFEV7O253SCWDZXHGN7QFKPEQ,1686185943,2023-06-08T00:59:03.000Z,796425061,2500,158.19109667762322,0.06327643867104929
fisherman.algo,NXI7MODRDUOVA7XQK2P3HVP325P26BOBWTADLGJUUEQ7ALMOVIQBIAURWM,DOWW65SAID4ONWRRTY7C432I6LU22SFP55D3EMPVYRNRJJE6HQMA,1686184521,2023-06-08T00:35:21.000Z,796425061,100,6.244780370786454,0.06244780370786454
jeremy.algo,BTV72TLOGSJHTWKSVMKUFUFJU2M6QJWMDUOMO4RCC42ALTF2HIKW6DQPDU,4L2XEAR7MUUNOMK5VKBQ6JMZSRFCSBC3XA6JBRHJPCTC5X3XJUIQ,1686125106,2023-06-07T08:05:06.000Z,796425061,420.69,31.460912409848966,0.07478407475777643
bso4life.algo,MXSQS4VVGGQDVFDVCG2PKGYKMMJLT25SRTCZDMIQLZSSX53F3GQWRHYWTI,QILTGQSZNN7EIGYIGNHDNZ3YYUH3DSE2JYM4BMACUUE4GNNVT7EQ,1686083706,2023-06-06T20:35:06.000Z,796425061,11.1,0.963307404198978,0.08678445082873676
,5HSCRRVNBZ467TGJAAOIBT5553SYB2FN55LO2FG7WTPS5UR7LLZCLGHXJU,ZEGGLKUMJVXMRBF4UTEIWFLF7PD45QAWHG65KYUPN2SJOJWGNW5A,1686053485,2023-06-06T12:11:25.000Z,0,40,5.412042435238808,0.13530106088097021
joyride.gekofam.algo,B7GK7QBZYACTSHF2FPACBKMGMD5TOOHS2ERCAHX3KQNDLHYJSV4ECO2KEU,HWFEFX352BZUIG3DW5GEIO742C4MEWGTEAEL27ZKUECFDPKNFVHA,1686012560,2023-06-06T00:49:20.000Z,796425061,1000,89.44081556759323,0.08944081556759323
jaxnole.algo,AAC2JBF6S6WIFE3SIWKDJ46HOBOXFBGBMMMSJDMIBE25SMBG4H2D2TJ3XY,562TAWM26QY5MTDGEB7D6UHNVZ77CNE7ZIZVFDZCUKFN2MTXX2TQ,1685973344,2023-06-05T13:55:44.000Z,796425061,1000,74.70865782924486,0.07470865782924485
stango.algo,XYEJCACB6BF2NU32K5UL37TN24SNBFURVEYUFQ2RR2XEHKUOZH5WSZTM7U,O4YV74MED5NYRBHCO6LVIS7YR3GDN6G5QTKSITQCA42XRDPAYDMA,1685967595,2023-06-05T12:19:55.000Z,796425061,49659,3532.1756295667933,0.07112860970955504
michaeljordan.algo,TIGER4VK5MHK2TIE2DLV5LQSJLZQROKY4H5VC3HXNTMDOPPMSPKKS4TK44,DGRVHFTC5PVPSLIA46O5XWXDUNRHMX5WTRWSDQHRO6GHOURCSBCQ,1685888035,2023-06-04T14:13:55.000Z,796425061,100,7.599187657320505,0.07599187657320505
andynguyen.algo,FTDVCZ7HNKANT3YXZOYJP55WDLVKZI4BMDHKQUMTH4FEIRY4Q6NRZB5OLI,4V24TQY3YGABVJ5IF4HQSKWNLR3BD57N34F333OWI6CM4SNSXKXQ,1685887379,2023-06-04T14:02:59.000Z,796425061,10001,759.9947576086238,0.07599187657320505
maui.algo,VXNVFUF5BTXJXM6GFRJ4J57KKAXNNT5AQ6IKI4RTYBFJGHOCVWYLJSU36Y,U5G3T3GE2FXPYQFNYKXHSKW25XRKI5CW2TX2C6LG2LKBOFCN637A,1685882002,2023-06-04T12:33:22.000Z,796425061,10420.69,848.3390976702962,0.08140910992173225
,MPJKLGXAKOTBTFW2UBSVHME5HX235QBQYXIURGRVGIZTJQCE4X4HHG4KH4,5MKP7ZNUWOLGZ3AMACOODVTVDOQFI2WVM7YKDTFA5D5ICWHUOBVQ,1685881910,2023-06-04T12:31:50.000Z,0,200,30.401480922269442,0.1520074046113472
vip.algo,GF746HJMTCM7M7KHMJYQLWG6CN4DVHC3UTXK4PU4CU2CF3FT5GXH56ZOVM,AA3JC435KXVQZOQK3TF4HV4ZPDHTRV6QGUPHNPKJGNG6BGTH5QUA,1685878736,2023-06-04T11:38:56.000Z,796425061,1286.58,98.30076034780477,0.07640470110510406
,LIL7TG5F63A4Q52AER6OG2A3ITSMGZVPPBS25H5QMYFX53MKPX2NQRA37U,WPBJSPD3YBEBWWMDYA56G7HEXJIMOY3VEJZTK6Q73XU5KJMAKQFA,1685875116,2023-06-04T10:38:36.000Z,796425061,0.1,0.008435770809759538,0.08435770809759537
